Project,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Best Practice Rules,Clone Metric Rules,Code Style Rules,Cohesion Metric Rules,Complexity Metric Rules,Coupling Metric Rules,Design Rules,Documentation Metric Rules,Documentation Rules,Error Prone Rules,Inheritance Metric Rules,Multithreading Rules,Performance Rules,Security Rules,Size Metric Rules,isDefective,
antlr4,L3178,CommonTokenStream,org.antlr.v4.runtime.CommonTokenStream,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\CommonTokenStream.java,59,1,146,2,0,0,0,0,0,0,0,0,1,2,2,17,4,13,56,8,14,0.8,0.518868,55,48,4,1,0.518868,55,3,3,1,1,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,51,88,7,15,1,1,6,0,4,0,43,37,2,32,1,0,0,9,0,8,0,0,8,0,0,0,0,7,0,0,0,0,0,0,2,0,
antlr4,L4165,ConsoleErrorListener,org.antlr.v4.runtime.ConsoleErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ConsoleErrorListener.java,36,1,65,2,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,1,0.59375,19,19,2,0,0.59375,19,2,2,0,0,1,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,13,30,1,0,1,0,1,1,1,0,5,1,1,5,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,
antlr4,L3765,DefaultErrorStrategy,org.antlr.v4.runtime.DefaultErrorStrategy,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\DefaultErrorStrategy.java,45,1,762,2,0,0,0,0,0,0,0,0,1,3,2,61,23,2,0,41,65,1,0.62828,431,383,8,0,0.62828,431,1,1,1,1,1,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,255,718,3,6,3,6,24,0,7,0,24,139,0,7,0,0,0,14,1,9,2,0,7,0,1,3,0,8,0,0,0,0,1,0,2,0,
antlr4,L4433,DiagnosticErrorListener,org.antlr.v4.runtime.DiagnosticErrorListener,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\DiagnosticErrorListener.java,63,1,180,2,0,0,0,0,0,0,0,0,1,1,1,15,11,2,4,5,12,0.5,0.365079,46,46,3,3,0.365079,46,2,2,1,1,1,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,80,118,1,2,1,2,7,0,5,0,11,35,0,9,0,0,0,13,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,
antlr4,L4220,FailedPredicateException,org.antlr.v4.runtime.FailedPredicateException,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\FailedPredicateException.java,45,1,100,2,0,0,0,0,0,0,0,0,1,1,1,9,10,2,1,7,14,0.142857,0.0980392,5,5,1,6,0.0980392,5,1,1,0,0,1,46,56,8,9,3,3,7,0,6,0,17,18,0,14,2,46,56,8,9,3,3,7,0,6,0,17,18,0,14,2,0,0,17,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,
antlr4,L3789,InputMismatchException,org.antlr.v4.runtime.InputMismatchException,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\InputMismatchException.java,37,1,42,2,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,4,5,0.5,0.333333,3,3,1,1,0.333333,3,1,1,0,0,1,6,6,5,6,0,0,1,0,1,0,11,2,0,9,2,6,6,5,6,0,0,1,0,1,0,11,2,0,9,2,0,0,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,
antlr4,L4510,InterpreterRuleContext,org.antlr.v4.runtime.InterpreterRuleContext,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\InterpreterRuleContext.java,46,1,72,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,3,0.666667,0.621622,23,23,2,1,0.621622,23,6,6,0,0,1,14,27,8,20,1,1,2,0,2,0,51,3,7,51,0,14,27,8,20,1,1,2,0,2,0,51,3,7,51,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,0,
antlr4,L2218,Lexer,org.antlr.v4.runtime.Lexer,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\Lexer.java,46,1,436,2,0,0,0,0,0,0,0,0,1,4,4,61,14,31,13,31,70,0.325,0.251462,86,69,13,27,0.251462,86,1,2,1,1,2,256,391,26,31,20,16,39,18,39,8,63,127,19,63,11,256,391,26,31,20,16,39,18,39,8,63,127,19,63,11,0,0,83,8,12,3,0,11,0,2,2,0,59,1,5,1,0,0,0,19,0,
antlr4,L4702,LexerInterpreter,org.antlr.v4.runtime.LexerInterpreter,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\LexerInterpreter.java,41,1,97,2,0,0,0,0,0,0,0,0,0,1,1,8,8,6,1,5,11,0,0,0,0,0,7,0,0,2,3,0,0,1,46,57,33,33,7,5,6,0,6,0,66,19,19,66,11,46,57,33,33,7,5,6,0,6,0,66,19,19,66,11,0,0,25,6,0,3,0,0,0,0,0,0,15,0,0,0,0,3,0,10,0,
antlr4,L2462,LexerNoViableAltException,org.antlr.v4.runtime.LexerNoViableAltException,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\LexerNoViableAltException.java,41,1,82,2,0,0,0,0,0,0,0,0,1,1,1,7,9,4,1,6,11,0,0.0571429,2,2,0,6,0.0571429,2,1,1,0,0,1,33,42,7,9,2,3,5,0,5,0,15,11,0,13,2,33,42,7,9,2,3,5,0,5,0,15,11,0,13,2,0,0,13,1,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,
antlr4,L4761,ListTokenSource,org.antlr.v4.runtime.ListTokenSource,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ListTokenSource.java,16,1,231,2,0,0,0,0,0,0,0,0,1,6,4,32,7,1,1,10,19,1,0.409091,81,71,10,0,0.409091,81,1,1,0,0,1,117,216,5,5,5,5,9,0,9,1,9,64,0,9,1,117,216,5,5,5,5,9,0,9,1,9,64,0,9,1,0,1,11,4,0,4,0,0,0,5,0,1,6,0,0,0,0,0,0,0,0,
antlr4,L2939,NoViableAltException,org.antlr.v4.runtime.NoViableAltException,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\NoViableAltException.java,41,1,86,2,0,0,0,0,0,0,0,0,0,0,0,4,8,5,3,4,8,0.2,0.26087,12,11,1,4,0.26087,12,1,1,0,0,1,34,46,7,8,2,2,4,0,4,0,14,7,0,12,2,34,46,7,8,2,2,4,0,4,0,14,7,0,12,2,0,0,10,1,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,
antlr4,L581,Parser,org.antlr.v4.runtime.Parser,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\Parser.java,58,1,898,2,0.0400222,1,4,2,0.0285375,0.0434783,24,20,3,4,4,120,32,30,51,53,108,0.566038,0.409722,295,276,30,23,0.390728,295,1,1,2,2,1,425,799,15,35,9,21,55,0,52,8,77,240,1,74,10,460,841,16,35,10,21,63,1,60,8,85,245,2,82,10,0,3,129,6,36,7,14,28,3,3,3,4,85,4,2,0,0,0,0,21,0,
antlr4,L6652,ParserInterpreter,org.antlr.v4.runtime.ParserInterpreter,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ParserInterpreter.java,68,1,262,2,0,0,0,0,0,0,0,0,1,3,3,36,26,4,4,33,43,0.25,0.101695,18,14,2,6,0.101695,18,2,2,0,0,1,159,195,23,36,8,5,10,0,7,0,83,79,1,77,10,159,195,23,36,8,5,10,0,7,0,83,79,1,77,10,0,0,35,4,3,2,0,2,0,1,2,0,23,0,0,0,0,3,0,9,0,
antlr4,L2862,ParserRuleContext,org.antlr.v4.runtime.ParserRuleContext,L507,L103,C:\Users\domco\Desktop\DP\repos\antlr4\runtime\Java\src\org\antlr\v4\runtime\ParserRuleContext.java,69,1,293,2,0,0,0,0,0,0,0,0,4,4,4,55,12,20,18,10,32,0.304348,0.317757,68,64,7,16,0.317757,68,5,5,1,1,1,146,225,7,19,4,11,22,4,22,0,49,81,7,49,0,146,225,7,19,4,11,22,4,22,0,49,81,7,49,0,0,0,52,0,11,1,0,7,1,3,1,0,37,3,0,0,0,0,0,10,0,
